"buy","hold","period","sell","strongBuy","strongSell","symbol"
16,13,"2024-12-01",1,5,0,"DVN"
12,5,"2025-03-01",0,15,0,"DXCM"
11,6,"2025-02-01",0,15,0,"DXCM"
11,7,"2025-01-01",0,14,0,"DXCM"
11,7,"2024-12-01",0,14,0,"DXCM"
20,8,"2025-03-01",0,6,0,"FANG"
24,6,"2025-02-01",0,7,0,"FANG"
25,5,"2025-01-01",0,6,0,"FANG"
23,6,"2024-12-01",0,6,0,"FANG"
12,11,"2025-03-01",1,6,0,"DLR"
15,8,"2025-02-01",1,6,0,"DLR"
12,11,"2025-01-01",1,6,0,"DLR"
12,11,"2024-12-01",1,6,0,"DLR"
7,11,"2025-03-01",0,3,0,"DFS"
7,11,"2025-02-01",0,3,0,"DFS"
4,13,"2025-01-01",0,3,0,"DFS"
4,13,"2024-12-01",0,3,0,"DFS"
9,22,"2025-03-01",0,8,1,"DG"
9,22,"2025-02-01",0,8,1,"DG"
9,22,"2025-01-01",0,8,1,"DG"
10,21,"2024-12-01",1,7,1,"DG"
10,21,"2025-03-01",1,3,0,"DLTR"
10,21,"2025-02-01",1,3,0,"DLTR"
10,21,"2025-01-01",1,3,0,"DLTR"
10,21,"2024-12-01",1,3,0,"DLTR"
5,17,"2025-03-01",0,3,0,"D"
5,17,"2025-02-01",0,3,0,"D"
5,18,"2025-01-01",0,3,0,"D"
5,17,"2024-12-01",0,3,0,"D"
14,12,"2025-03-01",1,11,0,"DPZ"
13,11,"2025-02-01",1,12,0,"DPZ"
14,12,"2025-01-01",1,12,0,"DPZ"
13,13,"2024-12-01",1,12,0,"DPZ"
9,8,"2025-03-01",0,6,0,"DOV"
10,7,"2025-02-01",0,6,0,"DOV"
9,8,"2025-01-01",0,6,0,"DOV"
8,10,"2024-12-01",0,5,0,"DOV"
5,18,"2025-03-01",0,3,0,"DOW"
5,18,"2025-02-01",0,3,0,"DOW"
6,19,"2025-01-01",0,2,0,"DOW"
5,21,"2024-12-01",0,2,0,"DOW"
8,13,"2025-03-01",2,3,0,"DHI"
8,13,"2025-02-01",2,3,0,"DHI"
9,11,"2025-01-01",2,4,0,"DHI"
10,11,"2024-12-01",1,4,0,"DHI"
9,10,"2025-03-01",0,5,0,"DTE"
10,8,"2025-02-01",0,6,0,"DTE"
9,10,"2025-01-01",0,5,0,"DTE"
9,10,"2024-12-01",0,5,0,"DTE"
7,12,"2025-03-01",0,5,0,"DUK"
7,12,"2025-02-01",0,5,0,"DUK"
8,12,"2025-01-01",0,5,0,"DUK"
8,12,"2024-12-01",0,5,0,"DUK"
14,4,"2025-03-01",1,7,0,"DD"
13,4,"2025-02-01",2,7,0,"DD"
13,6,"2025-01-01",2,6,0,"DD"
13,6,"2024-12-01",2,6,0,"DD"
8,12,"2025-03-01",0,5,0,"EMN"
8,12,"2025-02-01",0,5,0,"EMN"
8,13,"2025-01-01",0,3,0,"EMN"
8,12,"2024-12-01",0,4,0,"EMN"
16,11,"2025-03-01",0,6,0,"ETN"
16,11,"2025-02-01",0,6,0,"ETN"
17,10,"2025-01-01",0,6,0,"ETN"
17,10,"2024-12-01",0,6,0,"ETN"
10,21,"2025-03-01",2,6,1,"EBAY"
10,21,"2025-02-01",2,6,1,"EBAY"
10,22,"2025-01-01",2,6,1,"EBAY"
10,22,"2024-12-01",2,6,0,"EBAY"
10,14,"2025-03-01",0,7,0,"ECL"
10,14,"2025-02-01",0,7,0,"ECL"
10,15,"2025-01-01",0,7,0,"ECL"
9,16,"2024-12-01",0,7,0,"ECL"
10,6,"2025-03-01",1,6,0,"EIX"
9,7,"2025-02-01",1,6,0,"EIX"
9,7,"2025-01-01",1,7,1,"EIX"
9,7,"2024-12-01",1,7,1,"EIX"
14,18,"2025-03-01",0,8,1,"EW"
14,19,"2025-02-01",0,8,1,"EW"
14,21,"2025-01-01",0,7,0,"EW"
14,21,"2024-12-01",0,6,0,"EW"
7,20,"2025-03-01",0,9,0,"EA"
7,19,"2025-02-01",0,9,0,"EA"
11,16,"2025-01-01",0,10,0,"EA"
11,15,"2024-12-01",0,11,0,"EA"
14,7,"2025-03-01",1,6,0,"ELV"
14,7,"2025-02-01",1,6,0,"ELV"
14,6,"2025-01-01",1,7,0,"ELV"
15,5,"2024-12-01",1,7,0,"ELV"
19,6,"2025-03-01",1,6,0,"EMR"
19,6,"2025-02-01",1,6,0,"EMR"
18,6,"2025-01-01",1,6,0,"EMR"
17,7,"2024-12-01",1,5,0,"EMR"
17,22,"2025-03-01",2,3,1,"ENPH"
16,22,"2025-02-01",2,3,2,"ENPH"
19,21,"2025-01-01",2,3,2,"ENPH"
19,21,"2024-12-01",2,3,2,"ENPH"
10,9,"2025-03-01",0,5,0,"ETR"
9,9,"2025-02-01",0,4,0,"ETR"
10,10,"2025-01-01",0,4,0,"ETR"
11,9,"2024-12-01",0,4,0,"ETR"
16,15,"2025-03-01",0,6,0,"EOG"
14,16,"2025-02-01",0,6,0,"EOG"
14,17,"2025-01-01",0,6,0,"EOG"
13,18,"2024-12-01",0,6,0,"EOG"
14,7,"2025-03-01",1,6,0,"EPAM"
13,8,"2025-02-01",1,6,0,"EPAM"
14,7,"2025-01-01",1,7,0,"EPAM"
12,10,"2024-12-01",1,7,0,"EPAM"
11,12,"2025-03-01",0,7,0,"EQT"
12,11,"2025-02-01",0,7,0,"EQT"
12,11,"2025-01-01",0,5,0,"EQT"
11,10,"2024-12-01",0,5,0,"EQT"
11,6,"2025-03-01",0,8,0,"EFX"
12,5,"2025-02-01",0,9,0,"EFX"
12,5,"2025-01-01",0,9,0,"EFX"
10,6,"2024-12-01",0,10,0,"EFX"
19,5,"2025-03-01",0,9,0,"EQIX"
19,5,"2025-02-01",0,9,0,"EQIX"
18,6,"2025-01-01",0,9,0,"EQIX"
18,6,"2024-12-01",0,9,0,"EQIX"
11,16,"2025-03-01",0,3,0,"EQR"
11,16,"2025-02-01",0,3,0,"EQR"
10,16,"2025-01-01",0,3,0,"EQR"
10,16,"2024-12-01",0,3,0,"EQR"
3,2,"2025-03-01",0,3,0,"ERIE"
3,2,"2025-02-01",0,3,0,"ERIE"
3,2,"2025-01-01",0,3,0,"ERIE"
3,2,"2024-12-01",0,3,0,"ERIE"
9,18,"2025-03-01",1,2,1,"ESS"
9,18,"2025-02-01",1,2,1,"ESS"
7,19,"2025-01-01",1,2,1,"ESS"
7,20,"2024-12-01",0,2,1,"ESS"
8,25,"2025-03-01",3,3,0,"EL"
8,27,"2025-02-01",1,3,0,"EL"
8,27,"2025-01-01",1,3,0,"EL"
8,26,"2024-12-01",1,3,0,"EL"
7,9,"2025-03-01",0,6,0,"EG"
9,7,"2025-02-01",0,6,0,"EG"
8,7,"2025-01-01",0,6,0,"EG"
8,7,"2024-12-01",0,6,0,"EG"
7,6,"2025-03-01",0,7,0,"EVRG"
7,6,"2025-02-01",0,7,0,"EVRG"
7,8,"2025-01-01",0,5,0,"EVRG"
6,9,"2024-12-01",0,5,0,"EVRG"
10,9,"2025-03-01",1,7,1,"ES"
11,8,"2025-02-01",1,7,1,"ES"
11,9,"2025-01-01",1,7,1,"ES"
10,11,"2024-12-01",0,7,0,"ES"
6,11,"2025-03-01",1,5,0,"EXC"
6,11,"2025-02-01",1,5,0,"EXC"
5,14,"2025-01-01",1,4,0,"EXC"
5,14,"2024-12-01",1,4,0,"EXC"
11,24,"2025-03-01",0,8,0,"EXPE"
8,27,"2025-02-01",0,8,0,"EXPE"
9,27,"2025-01-01",0,8,0,"EXPE"
9,27,"2024-12-01",0,7,0,"EXPE"
0,12,"2025-03-01",7,0,3,"EXPD"
0,12,"2025-02-01",7,0,3,"EXPD"
0,12,"2025-01-01",7,0,3,"EXPD"
0,12,"2024-12-01",7,0,3,"EXPD"
7,12,"2025-03-01",1,2,1,"EXR"
7,12,"2025-02-01",1,2,1,"EXR"
7,11,"2025-01-01",2,2,1,"EXR"
7,11,"2024-12-01",2,2,1,"EXR"
12,12,"2025-03-01",1,7,0,"XOM"
13,12,"2025-02-01",1,6,0,"XOM"
14,12,"2025-01-01",1,6,0,"XOM"
14,12,"2024-12-01",1,6,0,"XOM"
1,13,"2025-03-01",2,0,2,"FFIV"
1,14,"2025-02-01",2,0,2,"FFIV"
1,14,"2025-01-01",2,0,2,"FFIV"
1,14,"2024-12-01",2,0,2,"FFIV"
3,14,"2025-03-01",9,0,2,"FDS"
3,14,"2025-02-01",9,0,2,"FDS"
3,14,"2025-01-01",9,0,2,"FDS"
3,14,"2024-12-01",9,0,2,"FDS"
10,7,"2025-03-01",2,5,0,"FICO"
9,8,"2025-02-01",2,5,0,"FICO"
9,8,"2025-01-01",2,5,0,"FICO"
9,7,"2024-12-01",2,5,0,"FICO"
0,14,"2025-03-01",3,2,3,"FAST"
0,14,"2025-02-01",3,2,3,"FAST"
0,13,"2025-01-01",4,2,3,"FAST"
0,13,"2024-12-01",3,3,3,"FAST"
11,5,"2025-03-01",0,5,0,"FRT"
10,5,"2025-02-01",0,5,0,"FRT"
11,5,"2025-01-01",0,5,0,"FRT"
10,6,"2024-12-01",0,5,0,"FRT"
14,11,"2025-03-01",2,8,0,"FDX"
15,10,"2025-02-01",2,8,0,"FDX"
17,10,"2025-01-01",2,8,0,"FDX"
17,9,"2024-12-01",2,9,0,"FDX"
12,16,"2025-03-01",1,7,0,"FIS"
12,16,"2025-02-01",1,7,0,"FIS"
11,15,"2025-01-01",1,9,0,"FIS"
11,15,"2024-12-01",1,9,0,"FIS"
10,11,"2025-03-01",0,8,0,"FITB"
10,11,"2025-02-01",0,8,0,"FITB"
9,12,"2025-01-01",0,8,0,"FITB"
9,12,"2024-12-01",0,8,0,"FITB"
26,5,"2025-03-01",0,12,0,"FSLR"
27,6,"2025-02-01",0,12,0,"FSLR"
27,8,"2025-01-01",0,12,0,"FSLR"
27,8,"2024-12-01",0,12,0,"FSLR"
10,10,"2025-03-01",1,5,0,"FE"
9,10,"2025-02-01",1,6,0,"FE"
10,9,"2025-01-01",1,7,0,"FE"
9,10,"2024-12-01",1,7,0,"FE"
21,7,"2025-03-01",0,17,0,"FI"
22,6,"2025-02-01",0,17,0,"FI"
21,7,"2025-01-01",0,18,0,"FI"
21,8,"2024-12-01",0,17,0,"FI"
6,14,"2025-03-01",2,2,0,"FMC"
10,11,"2025-02-01",1,2,0,"FMC"
9,12,"2025-01-01",1,2,0,"FMC"
9,12,"2024-12-01",1,2,0,"FMC"
3,17,"2025-03-01",4,2,5,"F"
3,18,"2025-02-01",4,2,5,"F"
7,16,"2025-01-01",2,4,3,"F"
7,18,"2024-12-01",2,4,1,"F"
16,26,"2025-03-01",2,5,0,"FTNT"
16,25,"2025-02-01",1,6,0,"FTNT"
16,27,"2025-01-01",1,6,0,"FTNT"
16,27,"2024-12-01",1,6,0,"FTNT"
14,9,"2025-03-01",0,2,0,"FTV"
14,9,"2025-02-01",0,2,0,"FTV"
14,9,"2025-01-01",0,2,0,"FTV"
14,8,"2024-12-01",0,3,0,"FTV"
10,14,"2025-03-01",1,5,0,"FOXA"
10,14,"2025-02-01",1,5,0,"FOXA"
10,14,"2025-01-01",1,5,0,"FOXA"
10,15,"2024-12-01",1,5,0,"FOXA"
0,11,"2025-03-01",9,0,1,"BEN"
0,11,"2025-02-01",9,0,1,"BEN"
0,10,"2025-01-01",10,0,1,"BEN"
0,10,"2024-12-01",10,0,1,"BEN"
12,11,"2025-03-01",0,4,0,"FCX"
12,12,"2025-02-01",0,3,0,"FCX"
12,9,"2025-01-01",0,7,0,"FCX"
13,8,"2024-12-01",0,7,0,"FCX"
2,6,"2025-03-01",4,1,2,"GRMN"
2,6,"2025-02-01",4,1,2,"GRMN"
2,7,"2025-01-01",4,0,2,"GRMN"
2,7,"2024-12-01",4,0,2,"GRMN"
7,6,"2025-03-01",2,5,0,"IT"
7,6,"2025-02-01",2,5,0,"IT"
6,7,"2025-01-01",2,5,0,"IT"
6,7,"2024-12-01",2,5,0,"IT"
16,2,"2025-03-01",0,9,0,"GE"
16,3,"2025-02-01",0,9,0,"GE"
16,2,"2025-01-01",0,9,0,"GE"
16,2,"2024-12-01",0,9,0,"GE"
9,8,"2025-03-01",1,8,0,"GEHC"
9,8,"2025-02-01",1,8,0,"GEHC"
9,8,"2025-01-01",1,7,0,"GEHC"
9,8,"2024-12-01",1,7,0,"GEHC"
18,8,"2025-03-01",0,7,0,"GEV"
16,8,"2025-02-01",0,6,0,"GEV"
17,7,"2025-01-01",0,7,0,"GEV"
15,7,"2024-12-01",0,7,0,"GEV"
4,7,"2025-03-01",0,3,0,"GEN"
5,5,"2025-02-01",1,3,0,"GEN"
6,6,"2025-01-01",0,3,0,"GEN"
5,6,"2024-12-01",0,3,0,"GEN"
13,7,"2025-03-01",1,11,1,"GNRC"
10,12,"2025-02-01",1,7,2,"GNRC"
11,11,"2025-01-01",1,7,2,"GNRC"
11,10,"2024-12-01",1,7,2,"GNRC"
13,12,"2025-03-01",1,7,0,"GD"
12,12,"2025-02-01",1,8,0,"GD"
14,10,"2025-01-01",1,9,0,"GD"
15,8,"2024-12-01",0,11,0,"GD"
4,18,"2025-03-01",0,3,0,"GIS"
4,18,"2025-02-01",0,3,0,"GIS"
4,18,"2025-01-01",0,3,0,"GIS"
4,19,"2024-12-01",0,2,0,"GIS"
16,11,"2025-03-01",2,7,0,"GM"
16,12,"2025-02-01",2,7,0,"GM"
15,12,"2025-01-01",3,8,0,"GM"
15,11,"2024-12-01",3,8,0,"GM"
5,11,"2025-03-01",0,2,0,"GPC"
5,11,"2025-02-01",0,2,0,"GPC"
4,10,"2025-01-01",0,3,0,"GPC"
4,10,"2024-12-01",0,3,0,"GPC"
15,11,"2025-03-01",0,11,0,"GILD"
14,14,"2025-02-01",0,10,0,"GILD"
13,15,"2025-01-01",0,10,0,"GILD"
14,15,"2024-12-01",0,10,0,"GILD"
12,16,"2025-03-01",2,10,0,"GPN"
12,16,"2025-02-01",2,10,0,"GPN"
13,14,"2025-01-01",2,12,0,"GPN"
13,14,"2024-12-01",2,12,0,"GPN"
10,6,"2025-03-01",0,4,0,"GL"
10,6,"2025-02-01",0,4,0,"GL"
9,6,"2025-01-01",0,4,0,"GL"
9,6,"2024-12-01",0,4,0,"GL"
10,9,"2025-03-01",1,6,0,"GDDY"
10,8,"2025-02-01",1,6,0,"GDDY"
10,8,"2025-01-01",1,6,0,"GDDY"
10,8,"2024-12-01",0,6,0,"GDDY"
12,10,"2025-03-01",0,8,0,"GS"
13,9,"2025-02-01",0,8,0,"GS"
15,9,"2025-01-01",0,8,0,"GS"
14,9,"2024-12-01",0,8,0,"GS"
17,9,"2025-03-01",0,7,0,"HAL"
17,10,"2025-02-01",0,7,0,"HAL"
17,7,"2025-01-01",0,9,0,"HAL"
18,5,"2024-12-01",0,9,0,"HAL"
10,12,"2025-03-01",0,3,0,"HIG"
10,12,"2025-02-01",0,3,0,"HIG"
10,13,"2025-01-01",0,3,0,"HIG"
10,13,"2024-12-01",0,3,0,"HIG"
7,4,"2025-03-01",0,7,0,"HAS"
7,4,"2025-02-01",0,7,0,"HAS"
7,4,"2025-01-01",0,8,0,"HAS"
7,4,"2024-12-01",0,8,0,"HAS"
12,8,"2025-03-01",1,9,0,"HCA"
12,8,"2025-02-01",1,9,0,"HCA"
13,7,"2025-01-01",1,9,0,"HCA"
13,8,"2024-12-01",0,9,0,"HCA"
11,6,"2025-03-01",0,7,0,"DOC"
11,6,"2025-02-01",0,7,0,"DOC"
10,7,"2025-01-01",0,7,0,"DOC"
10,7,"2024-12-01",0,7,0,"DOC"
5,10,"2025-03-01",1,6,0,"HSIC"
5,9,"2025-02-01",1,6,0,"HSIC"
5,8,"2025-01-01",3,5,0,"HSIC"
5,7,"2024-12-01",3,5,0,"HSIC"
2,20,"2025-03-01",8,1,2,"HSY"
2,19,"2025-02-01",8,1,3,"HSY"
2,20,"2025-01-01",7,1,3,"HSY"
2,20,"2024-12-01",7,1,3,"HSY"
6,10,"2025-03-01",0,4,0,"HES"
6,10,"2025-02-01",0,4,0,"HES"
6,11,"2025-01-01",0,4,0,"HES"
5,12,"2024-12-01",0,4,0,"HES"
7,8,"2025-03-01",0,4,0,"HPE"
7,8,"2025-02-01",0,4,0,"HPE"
8,8,"2025-01-01",0,6,0,"HPE"
6,11,"2024-12-01",0,5,0,"HPE"
9,19,"2025-03-01",0,4,0,"HLT"
10,18,"2025-02-01",0,4,0,"HLT"
10,17,"2025-01-01",0,4,0,"HLT"
10,17,"2024-12-01",0,4,0,"HLT"
7,15,"2025-03-01",1,5,0,"HOLX"
8,13,"2025-02-01",1,6,0,"HOLX"
8,13,"2025-01-01",1,6,0,"HOLX"
10,9,"2024-12-01",1,6,0,"HOLX"
24,12,"2025-03-01",0,12,1,"HD"
22,12,"2025-02-01",1,12,1,"HD"
23,12,"2025-01-01",1,12,1,"HD"
23,12,"2024-12-01",1,12,1,"HD"
13,14,"2025-03-01",0,4,0,"HON"
12,15,"2025-02-01",0,4,0,"HON"
12,15,"2025-01-01",0,4,0,"HON"
12,15,"2024-12-01",0,4,0,"HON"
1,9,"2025-03-01",7,1,1,"HRL"
1,9,"2025-02-01",7,1,1,"HRL"
0,11,"2025-01-01",6,1,1,"HRL"
0,11,"2024-12-01",6,1,1,"HRL"
9,4,"2025-03-01",2,9,0,"HST"
9,4,"2025-02-01",2,10,0,"HST"
9,4,"2025-01-01",2,10,0,"HST"
9,4,"2024-12-01",2,10,0,"HST"
16,5,"2025-03-01",0,8,1,"HWM"
15,5,"2025-02-01",0,8,1,"HWM"
17,4,"2025-01-01",0,8,1,"HWM"
17,4,"2024-12-01",0,8,1,"HWM"
4,13,"2025-03-01",1,2,0,"HPQ"
4,13,"2025-02-01",1,2,0,"HPQ"
5,13,"2025-01-01",1,2,0,"HPQ"
5,13,"2024-12-01",1,2,0,"HPQ"
7,10,"2025-03-01",0,4,0,"HUBB"
7,10,"2025-02-01",0,4,0,"HUBB"
7,10,"2025-01-01",0,4,0,"HUBB"
7,10,"2024-12-01",0,4,0,"HUBB"
6,20,"2025-03-01",1,4,0,"HUM"
7,19,"2025-02-01",1,4,0,"HUM"
7,19,"2025-01-01",1,4,0,"HUM"
7,19,"2024-12-01",1,4,0,"HUM"
12,8,"2025-03-01",1,6,0,"HBAN"
12,9,"2025-02-01",1,6,0,"HBAN"
11,9,"2025-01-01",1,6,0,"HBAN"
11,9,"2024-12-01",1,6,0,"HBAN"
1,11,"2025-03-01",6,1,1,"HII"
0,12,"2025-02-01",6,1,1,"HII"
1,13,"2025-01-01",6,1,1,"HII"
1,13,"2024-12-01",6,1,1,"HII"
8,9,"2025-03-01",3,6,0,"IBM"
7,10,"2025-02-01",3,4,0,"IBM"
7,12,"2025-01-01",3,4,0,"IBM"
7,12,"2024-12-01",3,4,0,"IBM"
6,7,"2025-03-01",1,5,0,"IEX"
6,8,"2025-02-01",0,5,0,"IEX"
5,9,"2025-01-01",0,5,0,"IEX"
5,9,"2024-12-01",0,5,0,"IEX"
9,7,"2025-03-01",0,5,0,"IDXX"
8,8,"2025-02-01",0,5,0,"IDXX"
8,8,"2025-01-01",0,5,0,"IDXX"
7,8,"2024-12-01",1,4,0,"IDXX"
2,16,"2025-03-01",7,1,2,"ITW"
2,17,"2025-02-01",6,1,2,"ITW"
2,15,"2025-01-01",8,1,2,"ITW"
2,15,"2024-12-01",8,1,2,"ITW"
6,15,"2025-03-01",1,11,0,"INCY"
6,15,"2025-02-01",1,11,0,"INCY"
6,15,"2025-01-01",1,11,0,"INCY"
6,14,"2024-12-01",1,11,0,"INCY"
10,9,"2025-03-01",0,6,0,"IR"
10,9,"2025-02-01",0,6,0,"IR"
10,8,"2025-01-01",1,6,0,"IR"
10,7,"2024-12-01",1,7,0,"IR"
13,5,"2025-03-01",0,12,0,"PODD"
13,5,"2025-02-01",0,12,0,"PODD"
13,5,"2025-01-01",0,12,0,"PODD"
13,5,"2024-12-01",0,12,0,"PODD"
1,39,"2025-03-01",6,1,3,"INTC"
2,38,"2025-02-01",6,1,3,"INTC"
2,38,"2025-01-01",7,1,3,"INTC"
3,37,"2024-12-01",6,1,3,"INTC"
13,4,"2025-03-01",0,5,0,"ICE"
13,4,"2025-02-01",0,5,0,"ICE"
13,4,"2025-01-01",0,5,0,"ICE"
13,4,"2024-12-01",0,5,0,"ICE"
10,6,"2025-03-01",1,8,1,"IFF"
11,6,"2025-02-01",0,8,1,"IFF"
11,7,"2025-01-01",0,7,1,"IFF"
10,8,"2024-12-01",0,7,1,"IFF"
7,5,"2025-03-01",1,5,1,"IP"
7,4,"2025-02-01",1,5,1,"IP"
7,5,"2025-01-01",1,5,0,"IP"
7,5,"2024-12-01",1,5,0,"IP"
6,8,"2025-03-01",0,1,0,"IPG"
6,6,"2025-02-01",1,2,0,"IPG"
3,8,"2025-01-01",2,3,0,"IPG"
1,8,"2024-12-01",8,3,1,"IPG"
19,8,"2025-03-01",1,10,0,"INTU"
18,8,"2025-02-01",1,10,0,"INTU"
18,9,"2025-01-01",0,10,0,"INTU"
18,9,"2024-12-01",0,10,0,"INTU"
14,13,"2025-03-01",0,12,0,"ISRG"
16,11,"2025-02-01",0,12,0,"ISRG"
17,11,"2025-01-01",0,12,0,"ISRG"
16,10,"2024-12-01",0,12,0,"ISRG"
4,14,"2025-03-01",1,2,0,"IVZ"
4,14,"2025-02-01",1,2,0,"IVZ"
4,14,"2025-01-01",1,2,0,"IVZ"
4,14,"2024-12-01",1,2,0,"IVZ"
11,16,"2025-03-01",0,3,0,"INVH"
11,16,"2025-02-01",0,3,0,"INVH"
12,13,"2025-01-01",0,4,0,"INVH"
12,13,"2024-12-01",0,4,0,"INVH"
17,7,"2025-03-01",0,7,0,"IQV"
17,6,"2025-02-01",0,8,0,"IQV"
17,6,"2025-01-01",0,8,0,"IQV"
16,7,"2024-12-01",0,7,0,"IQV"
8,2,"2025-03-01",1,2,0,"IRM"
8,2,"2025-02-01",1,2,0,"IRM"
8,2,"2025-01-01",1,2,0,"IRM"
8,2,"2024-12-01",1,2,0,"IRM"
13,7,"2025-03-01",1,9,0,"JBHT"
13,7,"2025-02-01",1,9,0,"JBHT"
12,8,"2025-01-01",1,9,0,"JBHT"
12,8,"2024-12-01",1,9,0,"JBHT"
8,3,"2025-03-01",0,3,0,"JBL"
8,3,"2025-02-01",0,3,0,"JBL"
8,3,"2025-01-01",0,4,0,"JBL"
8,3,"2024-12-01",0,4,0,"JBL"
4,13,"2025-03-01",2,6,0,"JKHY"
4,13,"2025-02-01",2,6,0,"JKHY"
4,12,"2025-01-01",1,6,0,"JKHY"
4,12,"2024-12-01",1,6,0,"JKHY"
10,8,"2025-03-01",0,6,0,"J"
10,8,"2025-02-01",0,6,0,"J"
10,8,"2025-01-01",0,6,0,"J"
10,7,"2024-12-01",0,6,0,"J"
9,14,"2025-03-01",0,5,0,"JNJ"
9,14,"2025-02-01",0,5,0,"JNJ"
10,14,"2025-01-01",0,6,0,"JNJ"
11,13,"2024-12-01",0,6,0,"JNJ"
10,11,"2025-03-01",0,6,0,"JCI"
9,12,"2025-02-01",0,6,0,"JCI"
11,11,"2025-01-01",0,6,0,"JCI"
10,13,"2024-12-01",0,5,0,"JCI"
13,10,"2025-03-01",0,4,1,"JPM"
13,10,"2025-02-01",0,4,1,"JPM"
14,10,"2025-01-01",0,3,1,"JPM"
14,10,"2024-12-01",0,3,1,"JPM"
4,10,"2025-03-01",0,2,0,"JNPR"
3,13,"2025-02-01",0,3,0,"JNPR"
4,14,"2025-01-01",0,3,0,"JNPR"
4,14,"2024-12-01",0,3,0,"JNPR"
4,18,"2025-03-01",0,2,0,"K"
4,18,"2025-02-01",0,2,0,"K"
4,18,"2025-01-01",0,2,0,"K"
4,18,"2024-12-01",0,2,0,"K"
6,13,"2025-03-01",0,4,0,"KVUE"
7,12,"2025-02-01",0,4,0,"KVUE"
6,13,"2025-01-01",0,4,0,"KVUE"
6,12,"2024-12-01",0,4,0,"KVUE"
9,11,"2025-03-01",0,4,0,"KDP"
9,11,"2025-02-01",0,4,0,"KDP"
9,10,"2025-01-01",0,4,0,"KDP"
8,11,"2024-12-01",0,4,0,"KDP"
9,13,"2025-03-01",0,5,0,"KEY"
9,13,"2025-02-01",0,4,0,"KEY"
10,12,"2025-01-01",0,3,0,"KEY"
10,12,"2024-12-01",0,3,0,"KEY"
12,2,"2025-03-01",1,4,0,"KEYS"
12,2,"2025-02-01",1,4,0,"KEYS"
12,2,"2025-01-01",1,4,0,"KEYS"
11,3,"2024-12-01",1,4,0,"KEYS"
7,13,"2025-03-01",1,2,1,"KMB"
7,13,"2025-02-01",1,2,1,"KMB"
8,12,"2025-01-01",1,2,1,"KMB"
8,12,"2024-12-01",1,2,1,"KMB"
4,17,"2025-03-01",0,6,0,"KIM"
4,16,"2025-02-01",0,6,0,"KIM"
4,16,"2025-01-01",0,7,0,"KIM"
5,15,"2024-12-01",0,7,0,"KIM"
9,12,"2025-03-01",0,4,0,"KMI"
9,12,"2025-02-01",0,4,0,"KMI"
8,11,"2025-01-01",0,4,0,"KMI"
8,11,"2024-12-01",0,4,0,"KMI"
13,4,"2025-03-01",0,7,0,"KKR"
12,4,"2025-02-01",0,8,0,"KKR"
14,3,"2025-01-01",0,8,0,"KKR"
14,3,"2024-12-01",0,8,0,"KKR"
13,10,"2025-03-01",0,9,0,"KLAC"
15,10,"2025-02-01",0,9,0,"KLAC"
14,11,"2025-01-01",0,9,0,"KLAC"
14,11,"2024-12-01",0,9,0,"KLAC"
5,17,"2025-03-01",2,3,0,"KHC"
6,15,"2025-02-01",1,5,0,"KHC"
7,14,"2025-01-01",1,5,0,"KHC"
7,14,"2024-12-01",1,5,0,"KHC"
11,13,"2025-03-01",0,9,0,"KR"
10,13,"2025-02-01",0,9,0,"KR"
10,12,"2025-01-01",0,9,0,"KR"
11,11,"2024-12-01",0,8,0,"KR"
12,7,"2025-03-01",1,8,0,"LHX"
13,6,"2025-02-01",1,8,0,"LHX"
14,8,"2025-01-01",1,6,0,"LHX"
14,8,"2024-12-01",1,6,0,"LHX"
13,6,"2025-03-01",0,9,0,"LH"
13,6,"2025-02-01",0,9,0,"LH"
12,6,"2025-01-01",0,9,0,"LH"
12,6,"2024-12-01",0,9,0,"LH"
19,9,"2025-03-01",0,8,0,"LRCX"
19,10,"2025-02-01",0,8,0,"LRCX"
16,12,"2025-01-01",0,9,0,"LRCX"
15,11,"2024-12-01",0,9,0,"LRCX"
7,10,"2025-03-01",0,4,0,"LW"
7,10,"2025-02-01",0,4,0,"LW"
7,10,"2025-01-01",0,4,0,"LW"
7,7,"2024-12-01",0,5,0,"LW"
13,6,"2025-03-01",0,5,0,"LVS"
13,6,"2025-02-01",0,5,0,"LVS"
14,6,"2025-01-01",0,4,0,"LVS"
14,6,"2024-12-01",0,4,0,"LVS"
7,8,"2025-03-01",0,8,0,"LDOS"
9,7,"2025-02-01",0,7,0,"LDOS"
10,6,"2025-01-01",0,7,0,"LDOS"
11,4,"2024-12-01",0,7,0,"LDOS"
12,7,"2025-03-01",1,5,1,"LEN"
7,16,"2025-02-01",0,2,0,"LEN"
7,14,"2025-01-01",1,3,0,"LEN"
8,12,"2024-12-01",1,4,0,"LEN"
3,12,"2025-03-01",8,2,3,"LII"
2,14,"2025-02-01",7,2,3,"LII"
7,11,"2025-01-01",2,3,2,"LII"
7,11,"2024-12-01",2,3,2,"LII"
16,6,"2025-03-01",0,10,0,"LLY"
14,8,"2025-02-01",0,11,0,"LLY"
15,8,"2025-01-01",0,11,0,"LLY"
17,7,"2024-12-01",0,10,0,"LLY"
17,9,"2025-03-01",1,6,0,"LIN"
15,9,"2025-02-01",1,6,0,"LIN"
15,11,"2025-01-01",1,6,0,"LIN"
15,11,"2024-12-01",1,6,0,"LIN"
